UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5859,"R",54,"R",883,"R",4922,"R",44,"R",10,"Z",0,"Z",0,"R",0
100654, 2,"R",4851,"R",38,"R",821,"R",3992,"R",29,"R",9,"Z",0,"Z",0,"R",0
100654, 3,"R",4616,"R",38,"R",815,"R",3763,"R",29,"R",9,"Z",0,"Z",0,"R",0
100654,11,"R",235,"R",0,"R",6,"R",229,"A",,"A",,"A",,"A",,"A",
100654,12,"R",1008,"R",16,"R",62,"R",930,"R",15,"R",1,"Z",0,"Z",0,"R",0
100663, 1,"R",19535,"R",4428,"R",5873,"R",9234,"R",2898,"R",1450,"R",0,"R",80,"R",0
100663, 2,"R",12369,"R",1780,"R",5050,"R",5539,"R",1446,"R",325,"R",0,"R",9,"R",0
100663, 3,"R",12047,"R",1712,"R",5023,"R",5312,"R",1384,"R",320,"R",0,"R",8,"R",0
100663,11,"R",322,"R",68,"R",27,"R",227,"R",62,"R",5,"R",0,"R",1,"R",0
100663,12,"R",7166,"R",2648,"R",823,"R",3695,"R",1452,"R",1125,"Z",0,"R",71,"R",0
100690, 1,"R",597,"R",597,"A",,"A",,"R",318,"R",278,"Z",0,"R",1,"R",0
100690, 2,"R",294,"R",294,"A",,"A",,"R",182,"R",112,"Z",0,"Z",0,"R",0
100690, 3,"R",293,"R",293,"A",,"A",,"R",181,"R",112,"Z",0,"Z",0,"R",0
100690,11,"R",1,"R",1,"A",,"A",,"R",1,"R",0,"Z",0,"Z",0,"R",0
100690,12,"R",303,"R",303,"A",,"A",,"R",136,"R",166,"Z",0,"R",1,"R",0
100706, 1,"R",8468,"R",449,"R",896,"R",7123,"R",337,"R",112,"Z",0,"Z",0,"R",0
100706, 2,"R",6507,"R",43,"R",521,"R",5943,"R",39,"R",4,"Z",0,"Z",0,"R",0
100706, 3,"R",6346,"R",41,"R",518,"R",5787,"R",37,"R",4,"Z",0,"Z",0,"R",0
100706,11,"R",161,"R",2,"R",3,"R",156,"R",2,"R",0,"Z",0,"Z",0,"R",0
100706,12,"R",1961,"R",406,"R",375,"R",1180,"R",298,"R",108,"Z",0,"Z",0,"R",0
100724, 1,"R",5318,"R",383,"R",255,"R",4680,"R",299,"R",78,"R",0,"R",6,"R",0
100724, 2,"R",4727,"R",305,"R",217,"R",4205,"R",227,"R",73,"R",0,"R",5,"R",0
100724, 3,"R",4704,"R",305,"R",217,"R",4182,"R",227,"R",73,"R",0,"R",5,"R",0
100724,11,"R",23,"R",0,"R",0,"R",23,"A",,"A",,"A",,"A",,"A",
100724,12,"R",591,"R",78,"R",38,"R",475,"R",72,"R",5,"R",0,"R",1,"R",0
100751, 1,"R",37663,"R",3627,"R",6615,"R",27421,"R",2035,"R",1522,"R",28,"R",42,"R",0
100751, 2,"R",32563,"R",2317,"R",6027,"R",24219,"R",1502,"R",777,"R",12,"R",26,"R",0
100751, 3,"R",31663,"R",1681,"R",6011,"R",23971,"R",926,"R",718,"R",11,"R",26,"R",0
100751,11,"R",900,"R",636,"R",16,"R",248,"R",576,"R",59,"R",1,"Z",0,"R",0
100751,12,"R",5100,"R",1310,"R",588,"R",3202,"R",533,"R",745,"R",16,"R",16,"R",0
100760, 1,"R",1769,"R",121,"R",578,"R",1070,"R",120,"R",1,"R",0,"R",0,"R",0
100760, 2,"R",1769,"R",121,"R",578,"R",1070,"R",120,"R",1,"R",0,"R",0,"R",0
100760, 3,"R",1492,"R",116,"R",568,"R",808,"R",115,"R",1,"R",0,"R",0,"R",0
100760,11,"R",277,"R",5,"R",10,"R",262,"R",5,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",3063,"R",1724,"R",1031,"R",308,"R",1629,"R",94,"R",0,"R",1,"R",0
100812, 2,"R",3025,"R",1687,"R",1030,"R",308,"R",1595,"R",91,"R",0,"R",1,"R",0
100812, 3,"R",2888,"R",1572,"R",1022,"R",294,"R",1488,"R",83,"R",0,"R",1,"R",0
100812,11,"R",137,"R",115,"R",8,"R",14,"R",107,"R",8,"R",0,"R",0,"R",0
100812,12,"R",38,"R",37,"R",1,"R",0,"R",34,"R",3,"R",0,"R",0,"R",0
100830, 1,"R",4878,"R",325,"R",1334,"R",3219,"R",305,"R",18,"Z",0,"Z",0,"R",2
100830, 2,"R",4273,"R",174,"R",1207,"R",2892,"R",157,"R",15,"Z",0,"Z",0,"R",2
100830, 3,"R",4171,"R",156,"R",1201,"R",2814,"R",141,"R",14,"Z",0,"Z",0,"R",1
100830,11,"R",102,"R",18,"R",6,"R",78,"R",16,"R",1,"Z",0,"Z",0,"R",1
100830,12,"R",605,"R",151,"R",127,"R",327,"R",148,"R",3,"Z",0,"Z",0,"R",0
100858, 1,"R",28290,"R",1209,"R",4245,"R",22836,"R",467,"R",719,"Z",0,"R",23,"R",0
100858, 2,"R",22658,"R",111,"R",3926,"R",18621,"R",48,"R",62,"Z",0,"R",1,"R",0
100858, 3,"R",22095,"R",111,"R",3926,"R",18058,"R",48,"R",62,"Z",0,"R",1,"R",0
100858,11,"R",563,"Z",0,"Z",0,"R",563,"A",,"A",,"A",,"A",,"A",
100858,12,"R",5632,"R",1098,"R",319,"R",4215,"R",419,"R",657,"Z",0,"R",22,"R",0
100937, 1,"R",1293,"A",,"A",,"R",1293,"A",,"A",,"A",,"A",,"A",
